operation,type,snr_loss_ratio,snr_loss_percent,large_loss,next_version_int16_candidate
/model.1/depthwise/Conv,Conv,0.009318447636663525,0.9318447636663525,False,False
/model.1/pointwise/Conv,Conv,0.0010171016732935332,0.10171016732935331,False,False
/model.0/conv/Conv,Conv,0.0006147377860846365,0.06147377860846365,False,False
/model.2/m.0/cv1/pointwise/Conv,Conv,0.0004618100217612664,0.04618100217612664,False,False
/model.2/m.0/cv2/pointwise/Conv,Conv,0.00044969361366990285,0.044969361366990285,False,False
/model.4/cv2/conv/Conv,Conv,0.00033078778856558217,0.033078778856558216,False,False
/model.2/m.0/cv1/depthwise/Conv,Conv,0.0003257257539341178,0.03257257539341178,False,False
/model.3/pointwise/Conv,Conv,0.00030858456642590687,0.03085845664259069,False,False
/model.2/cv2/conv/Conv,Conv,0.0002690097071536001,0.02690097071536001,False,False
/model.2/cv1/conv/Conv,Conv,0.00023237310851224416,0.023237310851224414,False,False
/model.2/m.0/cv2/depthwise/Conv,Conv,0.0001444004907303527,0.014440049073035269,False,False
/model.4/cv1/conv/Conv,Conv,0.00012236595442990014,0.012236595442990014,False,False
/model.16/cv1/conv/Conv,Conv,9.603272337699309e-05,0.009603272337699309,False,False
/model.23/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv,Conv,6.200584842493605e-05,0.006200584842493605,False,False
/model.3/depthwise/Conv,Conv,5.305414772275676e-05,0.005305414772275676,False,False
/model.16/m.0/cv2/pointwise/Conv,Conv,5.1219048692985325e-05,0.0051219048692985325,False,False
/model.16/m.0/cv1/pointwise/Conv,Conv,5.0729437601167625e-05,0.005072943760116763,False,False
/model.23/cv3.1/cv3.1.0/cv3.1.0.1/conv/Conv,Conv,3.3984585115831565e-05,0.0033984585115831565,False,False
/model.4/m.0/cv2/pointwise/Conv,Conv,3.214868378383548e-05,0.003214868378383548,False,False
/model.6/cv2/conv/Conv,Conv,3.122423575045254e-05,0.0031224235750452536,False,False
/model.6/cv1/conv/Conv,Conv,3.109199041754587e-05,0.003109199041754587,False,False
/model.23/cv2.0/cv2.0.0/pointwise/Conv,Conv,2.7508170812022087e-05,0.0027508170812022086,False,False
/model.16/cv2/conv/Conv,Conv,2.7214260367003362e-05,0.0027214260367003362,False,False
/model.5/cv1/conv/Conv,Conv,2.715900377362838e-05,0.0027159003773628383,False,False
/model.13/cv1/conv/Conv,Conv,2.68566537648951e-05,0.00268566537648951,False,False
